,sim,sentence1,sentence2
0,1,last year wanted murder,last year sought murder 
1,1,promarket economists dont object corporations blatantly use snob appeal promote products,economists companies openly using attractiveness luxury promote products
2,1,perhaps importantly ahmadinejad destabilizing influence bernanke,perhaps important ahmadinejad destabilising influence bernanke
3,1,europe,europe
4,1,gays modern practices rejected selfindulgent,gay practical modern rejected laws
5,1,month ago mubarak dismissed demands constitutional reform futile,month muybarak refused demands constitutional reform taxing futile
6,1,month ago mubarak dismissed demands constitutional reform futile,one month muybarak disrupted demands constitutional reform taxing futile 
7,1,iraqs future depends directly fate iraqi oil production,future iraq linked oil production country
8,1,todays great pax europa todays paneuropean prosperity depend,large pax europa today like current prosperity paneuropéenne depends
9,1,tendency extends deeper headscarves,trend goes well beyond simple headscarves
10,1,divisions reproduced local level,beyond geographical division divisions recur locally
11,1,europes performance continues decline would perception survive,image survive continuation decline
12,1,europes performance continues decline would perception survive,image survive decline
13,1,people versus putin,putin people
14,1,old version european responsewhat psychologists might call dollar envywill become acute,old version european response psychologists call envy dollar become pervasive
15,1,returns make us stock markets attractive reflect delicate political balance,returns return us markets transferable securities attracting reflect fragile political balance
16,1,side quite different theories explanations going,every leader markedly different explanations theories situation
17,1,answer lies support indonesian prodemocracy activists generate domestically internationally,answer support democratic activists indonésiens able generate nationally internationally
18,0,ignorant poor sick,moment 
19,1,jobs particular help young people create new lives serious work,jobs particular help young invent new forms employment 
20,1,iraqs future depends directly fate iraqi oil production,future iraq related oil production country
21,1,areas sharia law introduced force,areas sharia imposed
22,1,time radical improvements technology made threat evaporate,time radical technological progress made threats
23,1,prominent chinese businessman divides time hongkong london even specific,chinese influential businessman share time hong kong london even precise
24,1,answer lies support indonesian prodemocracy activists generate domestically internationally,answer lies support democratic activists indonesians may generate drive internationally
25,1,returns make us stock markets attractive reflect delicate political balance,returns make markets attractive reflect fragile political equilibrium 
26,1,questions many,many questions 
27,1,us stock prices fell 52 may 9 may 24,however americans fall 52 9 24 may 
28,1,time radical improvements technology made threat evaporate,time radical technological progress made slip threats
29,1,jobs particular help young people create new lives serious work,jobs particular would help young people forge new lives serious jobs
30,1,none absolves rich countries responsibility help,however emerging rich countries obligation help
31,1,perhaps importantly ahmadinejad destabilizing influence bernanke,perhaps important ahmadinejad exerts destabilizing influence bernanke
32,1,left conservative opposition without effective response,leaves opposition conservative without effective response
33,1,recommend policies politicians may may want consider,recommended policies politicians take account
34,1,gross error leading russia political ruin,mistake mistake process political 
35,1,initiative get far,done without initiative goes far
36,1,old version european responsewhat psychologists might call dollar envywill become acute,old version european reaction psychologists call desire dollar become penetrating
37,1,last year wanted murder,last year required murder
38,1,political stock market,politicization securities markets
39,1,side quite different theories explanations going,every originator theories explanations appreciably different situation
40,1,jobs particular help young people create new lives serious work,jobs help young people forge new lives serious jobs
41,1,tocqueville believed effective longterm constraints tendency,tocqueville believed long term nothing oppose really trend
42,1,witnessing today shift muslim identity islamist identity,witnessing today change muslim identity islamic identity
43,1,defeat alstom would profound consequences europeand competition policy,question losing alstom would serious repercussions europe policies competition
44,1,todays great pax europa todays paneuropean prosperity depend,large europa pax today current paneuropean prosperity depends
45,1,last year wanted murder,last year sought murder
46,0,witnessing today shift muslim identity islamist identity,absence change associations 
47,1,todays great pax europa todays paneuropean prosperity depend,great pax europa today current paneuropean prosperity depends
48,1,left conservative opposition without effective response,leaves conservative opposition without effective response
49,1,defeat alstom would profound consequences europeand competition policy,losing question alstom would serious repercussions europe policies competition
50,1,returns make us stock markets attractive reflect delicate political balance,returns make american securities markets attractive reflect fragile political balance
